name,facility_type,country,admin_region,city,latitude,longitude,operational_status,ownership,phone,email,website,beds
Adabraka Polyclinic,clinic,Ghana,Greater Accra Region,Accra,5.5558,-0.2050,operational,public,+233302224401,,,20
Mamprobi Polyclinic,clinic,Ghana,Greater Accra Region,Accra,5.5372,-0.2336,operational,public,+233302229011,,,15
La General Hospital,clinic,Ghana,Greater Accra Region,Accra,5.5569,-0.1703,operational,public,+233302772341,,,30
Achimota Hospital,clinic,Ghana,Greater Accra Region,Accra,5.6192,-0.2217,operational,public,+233302401123,,,40
Tema General Hospital,hospital,Ghana,Greater Accra Region,Tema,5.6667,-0.0167,operational,public,+233303212381,,,150
Kaneshie Polyclinic,clinic,Ghana,Greater Accra Region,Accra,5.5564,-0.2342,operational,public,+233302227711,,,15
Maamobi General Hospital,clinic,Ghana,Greater Accra Region,Accra,5.5719,-0.2150,operational,public,+233302233841,,,50
LEKMA Hospital,clinic,Ghana,Greater Accra Region,Accra,5.6167,-0.1083,operational,public,+233302818114,,,30
Pantang Hospital,hospital,Ghana,Greater Accra Region,Accra,5.7000,-0.1667,operational,public,+233302501921,,,500
Ga South Municipal Hospital,clinic,Ghana,Greater Accra Region,Accra,5.5486,-0.3247,operational,public,+233302308441,,,30
Agogo Presbyterian Hospital,hospital,Ghana,Ashanti Region,Agogo,6.8000,-1.0833,operational,private,+233322291011,,,200
Bekwai Municipal Hospital,clinic,Ghana,Ashanti Region,Bekwai,6.4500,-1.5833,operational,public,+233322091341,,,60
Konongo-Odumasi Government Hospital,hospital,Ghana,Ashanti Region,Konongo,6.6167,-1.2167,operational,public,+233322293501,,,80
Manhyia District Hospital,clinic,Ghana,Ashanti Region,Kumasi,6.7167,-1.6167,operational,public,+233322024811,,,50
Tafo Government Hospital,clinic,Ghana,Ashanti Region,Kumasi,6.7333,-1.5833,operational,public,+233322022181,,,40
Suntreso Government Hospital,clinic,Ghana,Ashanti Region,Kumasi,6.6833,-1.6500,operational,public,+233322025611,,,45
Kumasi South Hospital,clinic,Ghana,Ashanti Region,Kumasi,6.6500,-1.6333,operational,public,+233322023791,,,40
Ejisu Government Hospital,clinic,Ghana,Ashanti Region,Ejisu,6.7333,-1.4667,operational,public,+233322092201,,,35
Nkawie-Toase Government Hospital,clinic,Ghana,Ashanti Region,Nkawie,6.5500,-1.7500,operational,public,+233322097011,,,40
Obuasi Government Hospital,hospital,Ghana,Ashanti Region,Obuasi,6.2000,-1.6667,operational,public,+233322440121,,,100
CHPS Compound Nima,health_post,Ghana,Greater Accra Region,Accra,5.5750,-0.2083,operational,public,,,,,
CHPS Compound Madina,health_post,Ghana,Greater Accra Region,Madina,5.6667,-0.1667,operational,public,,,,,
CHPS Compound Teshie,health_post,Ghana,Greater Accra Region,Accra,5.5833,-0.1000,operational,public,,,,,
CHPS Compound Nungua,health_post,Ghana,Greater Accra Region,Accra,5.5917,-0.0750,operational,public,,,,,
CHPS Compound Dansoman,health_post,Ghana,Greater Accra Region,Accra,5.5333,-0.2583,operational,public,,,,,
CHPS Compound Kpone,health_post,Ghana,Greater Accra Region,Tema,5.6833,0.0333,operational,public,,,,,
CHPS Compound Ashaiman,health_post,Ghana,Greater Accra Region,Ashaiman,5.6833,-0.0333,operational,public,,,,,
CHPS Compound Dodowa,health_post,Ghana,Greater Accra Region,Dodowa,5.8833,-0.0833,operational,public,,,,,
CHPS Compound Kasoa,health_post,Ghana,Central Region,Kasoa,5.5333,-0.4167,operational,public,,,,,
CHPS Compound Pokuase,health_post,Ghana,Greater Accra Region,Pokuase,5.6833,-0.2833,operational,public,,,,,
Ernest Chemists Pharmacy Osu,pharmacy,Ghana,Greater Accra Region,Accra,5.5500,-0.1750,operational,private,+233302773411,,,0
Kama Health Pharmacy,pharmacy,Ghana,Greater Accra Region,Accra,5.5708,-0.2017,operational,private,+233302242911,,,0
